r h1 h2
5.3600000000 0.0001891834 -0.0022296170
5.3700000000 0.0010469454 -0.0033731174
5.3800000000 0.0000931557 -0.0032161890
5.3900000000 0.0004592005 -0.0036206398
5.4000000000 -0.0000552722 -0.0043193693
5.4100000000 -0.0005494669 -0.0035329388
5.4200000000 -0.0016639497 -0.0038545706
5.4300000000 -0.0023981477 -0.0023433948
5.4400000000 -0.0018461819 -0.0022910710
5.4500000000 -0.0007947933 -0.0028522146
5.4600000000 -0.0010466040 -0.0013452024
5.4700000000 -0.0001446802 -0.0024557296
5.4800000000 -0.0001314917 -0.0025020525
5.4900000000 0.0000110896 -0.0023215176
5.5000000000 0.0004213187 -0.0021026068
5.5100000000 0.0007707673 -0.0027859754
5.5200000000 0.0004979375 -0.0029394269
5.5300000000 0.0004535920 -0.0027366359
5.5400000000 0.0008419354 -0.0023576560
5.5500000000 0.0011293600 -0.0017207237
5.5600000000 0.0013969381 -0.0012755758
5.5700000000 0.0027390702 -0.0022247248
5.5800000000 0.0032066371 -0.0014839576
5.5900000000 0.0031201244 -0.0012591531
5.6000000000 0.0025350386 -0.0020991672
5.6100000000 0.0023887650 -0.0017649244
5.6200000000 0.0021697200 -0.0019095897
5.6300000000 0.0022287471 -0.0019720023
5.6400000000 0.0023587000 -0.0015552977
5.6500000000 0.0026522880 -0.0010413785
5.6600000000 0.0026995057 -0.0014260881
5.6700000000 0.0035224267 -0.0018332791
5.6800000000 0.0040872194 -0.0015666411
5.6900000000 0.0040330370 -0.0023143134
5.7000000000 0.0037898161 -0.0022349896
5.7100000000 0.0040228439 -0.0019529848
5.7200000000 0.0036054483 -0.0021286292
5.7300000000 0.0046732753 -0.0012620341
5.7400000000 0.0047798827 -0.0009923464
5.7500000000 0.0052935221 -0.0004595710
5.7600000000 0.0049432916 0.0003542696
5.7700000000 0.0053766246 -0.0010100572
5.7800000000 0.0051144970 -0.0011644698
5.7900000000 0.0056450588 -0.0012375478
5.8000000000 0.0060344725 -0.0014795305
5.8100000000 0.0058078407 -0.0018185570
5.8200000000 0.0062618449 -0.0012224558
5.8300000000 0.0066921471 -0.0025254770
5.8400000000 0.0071287113 -0.0006372732
5.8500000000 0.0072389755 -0.0010763658
5.8600000000 0.0063173598 -0.0010281860
5.8700000000 0.0072041804 -0.0018129957
5.8800000000 0.0082736698 -0.0014712669
5.8900000000 0.0085878210 -0.0018301032
5.9000000000 0.0091076948 -0.0019918555
5.9100000000 0.0099652568 -0.0009118928
5.9200000000 0.0096660489 -0.0023498988
5.9300000000 0.0102119062 -0.0014248266
5.9400000000 0.0100770657 -0.0013177444
5.9500000000 0.0103743881 -0.0018189997
5.9600000000 0.0097810194 -0.0021368046
5.9700000000 0.0104258464 -0.0023994127
5.9800000000 0.0101105895 -0.0020098729
5.9900000000 0.0110213831 -0.0018892026
6.0000000000 0.0115030996 -0.0012167941
6.0100000000 0.0118287904 -0.0014464681
6.0200000000 0.0117763498 -0.0007927520
6.0300000000 0.0119263489 -0.0001393474
6.0400000000 0.0115661585 -0.0016074330
6.0500000000 0.0111759111 -0.0004669277
6.0600000000 0.0106696094 -0.0003249373
6.0700000000 0.0116068543 -0.0004942815
6.0800000000 0.0127237464 -0.0001035535
6.0900000000 0.0123320841 -0.0002573530
6.1000000000 0.0120976478 -0.0005375426
6.1100000000 0.0125701911 -0.0005330396
6.1200000000 0.0128274183 0.0004533465
6.1300000000 0.0133794749 -0.0006026950
6.1400000000 0.0151136250 -0.0006219961
6.1500000000 0.0138770694 -0.0015244724
6.1600000000 0.0141716829 -0.0015185218
6.1700000000 0.0146250627 -0.0008329925
6.1800000000 0.0151791385 0.0000429793
6.1900000000 0.0155402627 -0.0001409460
6.2000000000 0.0155386188 -0.0007523881
6.2100000000 0.0150626785 0.0002405108
6.2200000000 0.0150438303 -0.0002514268
6.2300000000 0.0146744474 0.0003644670
6.2400000000 0.0151009799 -0.0009221840
6.2500000000 0.0152868035 -0.0011645898
6.2600000000 0.0140733727 -0.0008365772
6.2700000000 0.0155838537 -0.0013114519
6.2800000000 0.0153941534 -0.0017809341
6.2900000000 0.0147199234 -0.0016404482
6.3000000000 0.0151296515 -0.0014525790
6.3100000000 0.0166653703 -0.0012556647
6.3200000000 0.0160476904 -0.0001651452
6.3300000000 0.0149750475 -0.0000203603
6.3400000000 0.0145644603 -0.0002254836
6.3500000000 0.0153006921 0.0003248002
6.3600000000 0.0162773946 0.0006797122
6.3700000000 0.0153788451 0.0015852671
6.3800000000 0.0148314696 0.0010417735
6.3900000000 0.0145718395 0.0009079967
6.4000000000 0.0144899990 0.0000356217
6.4100000000 0.0154932739 -0.0009270077
6.4200000000 0.0144102343 -0.0002853346
6.4300000000 0.0144896505 -0.0010189455
6.4400000000 0.0148553823 -0.0004607657
6.4500000000 0.0147450862 0.0001598011
